size_fraction,ddt_hr,capture_fraction
0.8085392640284115,12.0,0.016752011704462267
0.85109396213517,12.0,0.017849305047549363
0.936203358348687,12.0,0.02040965618141911
1.021312754562204,12.0,0.02370153621068018
1.106422150775721,12.0,0.028163862472567625
1.191531546989238,12.0,0.03423555230431587
1.276640943202755,12.0,0.042209217264081805
1.361750339416272,12.0,0.05208485735186523
1.446859735629789,12.0,0.06437454279444026
0.0,24.0,0.0
0.0425546981067585,24.0,0.000365764447695559
0.085109396213517,24.0,0.000804681784930396
0.170218792427034,24.0,0.0016825164594000712
0.255328188640551,24.0,0.002560351133869746
0.340437584854068,24.0,0.0034381858083394213
0.425546981067585,24.0,0.004316020482808888
0.510656377281102,24.0,0.005267008046817841
0.680875169708136,24.0,0.0070958302852962615
0.85109396213517,24.0,0.00936356986100952
1.021312754562204,24.0,0.013460131675200987
